Date	Time	 Region 	 Prefecture 	City	 RF Cluster	Group Center 	vCU	vDU	Zone	Site	Cell	Band	Site Status	Site Category	ECGI	ENBID	1002-Max UE Num	1011-Sector DL Throughput (Mbps)	1013-Radio Network Availability Rate (%)	3150-DL PRB Utilization	3644-CCE Utilization (%)	4095-ERAB Rel PDSCH Utilization	3645-CCE Utilization AGG1 (%)	3646-CCE Utilization AGG2 (%)	3647-CCE Utilization AGG4 (%)	3648-CCE Utilization AGG8 (%)	0004-DL PRB Utilization_Generic	1685-Test_FDDL.RprtNbr.CQI	1775-Test_FDDL.Cqi1Nbr.CW	1777-Test_FDDL.Cqi2Nbr.CW	1779-Test_FDDL.Cqi3Nbr.CW	1785-Test_FDDL.Cqi4Nbr.CW	3072-Average CQI	3138-Average CQI Nom	3139-Average CQI Denom	1191-Average DL User Throughput (Mbps)	1192-Average UL User Throughput (Mbps)	3140-Average DL User Throughput Nom	3141-Average DL User Throughput Denom (Seconds)	3142-Average UL User Throughput Nom (bits)	3143-Average UL User Throughput Denom (Seconds)	4316-Average User Data Volume	1020-DL Traffic Volume (GB)	1021-UL Traffic Volume (GB)	1027-Total Traffic Volume (GB)	1196-Traffic Volume VOLTE	1084-DL  Transport BLER %	3146-DL IBLER % Nom	3147-DL IBLER % Denom	1085-UL Transport Bler %	3148-UL IBLER % Nom	3149-UL IBLER Denom	1058-UL RSSI (dBm)	5297-DL Average MCS	4389-Average User Data Volume	1640-Test_FDUL.64QamDstrbtnNbr	1634-Test_FDUL.16QamDstrbtnNbr	1632-Test_FDUL.QpskDstrbtnNbr	3169-DL Qpsk Distribution	3171-DL 16QAM Distribution	3174-DL 64 QAM Distribution	3167-DL QPSK Distribution Nom	3170-DL 16Qam Distribution NOM	3173-DL 64 QAM Distribution NOM	3168-Modulation Distribution DNOM	1787-Test_FDDL.Cqi5Nbr.CW	1789-Test_FDDL.Cqi6Nbr.CW	1791-Test_FDDL.Cqi7Nbr.CW	1793-Test_FDDL.Cqi8Nbr.CW	1796-Test_FDDL.Cqi9Nbr.CW	1799-Test_FDDL.Cqi10Nbr.CW	1801-Test_FDDL.Cqi11Nbr.CW	1803-Test_FDDL.Cqi12Nbr.CW	1805-Test_FDDL.Cqi13Nbr.CW	1806-Test_FDDL.Cqi14Nbr.CW	1807-Test_FDDL.Cqi15Nbr.CW
16/06/2020	23:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	2	1800	ONAIR	-	4.40119E+12	360683	19	8.1991	100	15.92	15.1087	-	18.8605	52.617	28.5225	0	15.92	0.2969	1580	1922	2262	2775	10.3684	197	19	9.4439	6.426	3438994592	364.15	3703164080	576.282	0.0008	2.417	0.5228	2.9398	0	8.5781	185813	2166135	10.0434	101155	1007181	-93.9366	19.2737	0.5711	360342	605999	40835	2.7952	22.7233	74.4815	25576	207919	681508	915003	2334	2464	2400	1988	2315	2921	9933	14458	3691	2503	2492
17/06/2020	12:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	2	1800	ONAIR	-	4.40119E+12	360683	20	13.1289	100	31.7061	19.3313	-	4.0017	35.7489	60.2494	0	31.7061	0.2031	1934	2152	2409	2526	9.7692	127	13	13.1132	1.6207	16967788768	1293.945	696903984	429.993	0.0011	3.2661	0.1082	3.3743	0	7.7377	164892	2131022	16.24	108167	666054	-93.6777	10.3086	0.7792	115675	185408	364951	49.9795	43.7052	6.3153	232869	203635	29425	465929	2557	2885	3333	3380	3172	3528	3853	3364	2487	2522	4616
11/06/2020	21:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	12	9.3494	100	4.8058	5.8078	-	8.9663	40.9624	50.0714	0	4.8058	0.125	5	5	6	3	11.25	90	8	18.0663	2.4661	2228480928	123.35	152242448	61.734	0.0003	0.3234	0.03	0.3534	0	8.4791	46935	553540	10.053	20979	208684	-96.0172	16.4928	0.1806	193575	11289	3808	17.938	21.7022	60.3598	1077	1303	3624	6004	12	25	45	29	11	37	31	49	41	68	158
12/06/2020	23:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	12	11.7625	100	5.3105	4.8294	-	8.2183	43.2156	48.5661	0	5.3105	0.0938	8	9	8	13	11	66	6	19.242	2.5214	2828048424	146.973	112022296	44.428	0.0003	0.388	0.0232	0.4112	0	8.8108	45019	510955	10.4146	16434	157798	-95.2428	4.5752	0.2494	149588	6544	1642	86.2832	12.9794	0.7375	585	88	5	678	8	30	8	10	9	14	12	13	16	67	181
13/06/2020	17:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	13	16.6519	100	5.3231	3.9849	-	3.7923	32.2516	63.9561	0	5.3231	0.0938	41	50	59	72	9.6667	58	6	18.4826	3.6691	2975807096	161.006	58375152	15.91	0.0004	0.3937	0.0111	0.4047	0	7.9051	27838	352151	11.2169	7543	67247	-93.763	11.8464	0.253	54729	9178	3341	38.3191	38.6895	22.9915	1345	1358	807	3510	88	122	88	90	66	99	101	135	130	116	426
14/06/2020	22:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	12	13.6237	100	8.1477	4.3454	-	3.9221	41.0742	55.0038	0	8.1477	0.0469	214	288	316	344	9	27	3	14.0008	2.0676	3818050424	272.703	39615256	19.16	0.0006	0.4882	0.0092	0.4974	0	7.6448	33982	444513	10.8597	6998	64440	-99.1647	18.1862	0.4443	14107	38283	12051	3.6684	34.9498	61.3818	15321	145968	256361	417650	329	423	328	401	735	799	1247	1270	516	573	982
15/06/2020	16:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	16	12.7768	100	5.2155	4.6707	-	6.4883	38.205	55.3066	0	5.2155	0.125	104	104	125	125	11.5	92	8	16.9584	3.0778	2402345144	141.661	80852584	26.27	0.0002	0.3507	0.0181	0.3688	0	8.3173	33051	397375	11.2308	14867	132377	-94.2259	12.1893	0.152	106221	20009	6159	32.3029	48.1481	19.5489	3323	4953	2011	10287	217	240	245	167	229	238	202	243	203	175	619
16/06/2020	03:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	6	13.5651	100	5.9563	3.9578	-	4.0368	27.9102	68.0529	0	5.9563	0.0469	1	2	1	1	12.3333	37	3	14.1448	1.2972	2711185528	191.674	52198616	40.238	0.0013	0.3473	0.0082	0.3555	0	7.9625	26562	333589	9.8598	6596	66898	-99.5903	15.7266	0.9109	6516	17189	43194	32.0197	3.202	64.7783	130	13	263	406	0	0	2	1	4	6	10	13	11	4	42
17/06/2020	06:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-KAWAMURA	Nagoyamoriyama	UHN1AIC100400234	UHN1AIC101400468	NAGOYA	NNC2301000531	3	1800	ONAIR	-	4.40119E+12	360683	15	12.5393	100	5.0805	4.0409	-	5.1915	33.2955	61.5129	0	5.0805	0.0625	128	188	194	157	8.75	35	4	15.1034	3.9039	2193454800	145.229	98088968	25.126	0.0004	0.3071	0.0201	0.3272	0	8.1404	29357	360632	11.4889	9518	82845	-95.5923	16.3208	0.2683	47199	31481	4198	13.4859	39.7226	46.7915	6805	20044	23611	50460	149	200	222	241	268	298	353	531	372	432	1067
11/06/2020	16:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-OBATARYOKUCHI	Shidami	UHN1AIC100400221	UHN1AIC101400442	NAGOYA	NNC2301000536	4	1800	ONAIR	-	4.40119E+12	360670	10	7.6402	100	9.4502	5.1449	-	4.9063	42.6459	52.4478	0	9.4502	0.0781	720	340	523	348	9.2	46	5	8.2054	7.6561	2480417904	302.291	347978312	45.451	0.0004	0.32	0.0478	0.3678	0	7.3974	30534	412769	9.7245	9888	101681	-96.8328	15.0259	0.2761	59822	27053	14804	14.6932	54.1422	31.1646	58158	214303	123354	395815	395	702	1182	1914	805	548	634	918	988	1026	1930
12/06/2020	18:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-OBATARYOKUCHI	Shidami	UHN1AIC100400221	UHN1AIC101400442	NAGOYA	NNC2301000536	4	1800	ONAIR	-	4.40119E+12	360670	15	8.1032	100	12.7929	7.8015	-	4.9597	35.96	59.0803	0	12.7929	0.1562	197	214	237	240	9.4	94	10	8.9599	1.4208	4062264464	453.384	109462072	77.043	0.0003	0.5227	0.021	0.5437	0	7.8693	53993	686118	9.202	17594	191198	-100.56	16.0015	0.2393	39795	75488	75899	10.4913	44.577	44.9317	19288	81954	82606	183848	348	1231	329	454	621	812	1515	2271	709	639	1613
13/06/2020	17:00	TOKAI	AICHI-KEN	NAGOYA-SHI	AIC-MORIYAMA-OBATARYOKUCHI	Shidami	UHN1AIC100400221	UHN1AIC101400442	NAGOYA	NNC2301000536	4	1800	ONAIR	-	4.40119E+12	360670	12	7.0219	100	19.7131	8.6247	-	6.6453	58.2081	35.1467	0	19.7131	0.0938	363	378	430	427	10.1667	61	6	7.7208	1.2219	5103157912	660.964	100185768	81.989	0.0005	0.649	0.0218	0.6708	0	7.8076	62380	798968	9.2147	21926	237945	-103.7599	15.5294	0.3324	14570	150075	73389	7.6657	52.7593	39.575	59602	410213	307703	777518	479	2722	2782	5823	6313	3319	1845	1980	637	472	656
